(u'techcrunch.com', 'techcrunch.ooo.', 'techcrunch.ooo', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcrunxh.com.', 'techcrunxh.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunchx.com.', 'techcrunchx.com', u'typo', '107.172.11.241')
(u'techcrunch.com', 'techcrunch-india.com.', 'techcrunch-india.com', 'combo', '45.33.9.234')
(u'techcrunch.com', 'techrcunch.com.', 'techrcunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcruncch.com.', 'techcruncch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.website.', 'techcrunch.website', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techcdunch.com.', 'techcdunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrucnh.com.', 'techcrucnh.com', u'typo', '208.73.210.202')
(u'techcrunch.com', 'techcrunch-disrupt.com.', 'techcrunch-disrupt.com', 'combo', '165.160.13.20')
(u'techcrunch.com', 'techncrunch.com.', 'techncrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.us.', 'techcrunch.us', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'trechcrunch.com.', 'trechcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.cz.', 'techcrunch.cz', 'wrongTLD', '95.168.211.37')
(u'techcrunch.com', 'techcrunch.wang.', 'techcrunch.wang', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techcruncy.com.', 'techcruncy.com', u'typo', '216.239.38.21')
(u'techcrunch.com', 'techcrinch.com.', 'techcrinch.com', u'homo', '172.107.9.241')
(u'techcrunch.com', 'techcrunnch.com.', 'techcrunnch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.at.', 'techcrunch.at', 'wrongTLD', '185.53.179.7')
(u'techcrunch.com', 'techc5unch.com.', 'techc5unch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.ooo.', 'techcrunch.ooo', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techctunch.com.', 'techctunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techrcunch.com.', 'techrcunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcruncch.com.', 'techcruncch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.net.', 'techcrunch.net', 'wrongTLD', '204.93.177.136')
(u'techcrunch.com', 'techcrunch.us.', 'techcrunch.us', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'tehcrunch.com.', 'tehcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'trechcrunch.com.', 'trechcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techkrunch.us.', 'techkrunch.us', u'bits', '104.27.177.174')
(u'techcrunch.com', 'techcrunch-t.com.', 'techcrunch-t.com', 'combo', '52.213.32.240')
(u'techcrunch.com', 'techcronch.com.', 'techcronch.com', u'homo', '127.0.0.1')
(u'techcrunch.com', 'techcrjnch.com.', 'techcrjnch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcruncy.com.', 'techcruncy.com', u'typo', '216.239.36.21')
(u'techcrunch.com', 'techcrunch.pl.', 'techcrunch.pl', 'wrongTLD', '185.53.178.6')
(u'techcrunch.com', 'techcrunnch.com.', 'techcrunnch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunchi.com.', 'techcrunchi.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch-t.com.', 'techcrunch-t.com', 'combo', '52.51.157.99')
(u'techcrunch.com', 'tedhcrunch.com.', 'tedhcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrfunch.com.', 'techcrfunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcunch.com.', 'techcunch.com', u'typo', '199.59.242.150')
(u'techcrunch.com', 'techbrunch.me.', 'techbrunch.me', u'bits', '70.40.220.109')
(u'techcrunch.com', 'techctunch.com.', 'techctunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch-africa.com.', 'techcrunch-africa.com', 'combo', '167.114.156.214')
(u'techcrunch.com', 'techcrunch.es.', 'techcrunch.es', 'wrongTLD', '37.152.88.54')
(u'techcrunch.com', 'tecchrunch.com.', 'tecchrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunh.com.', 'techcrunh.com', u'typo', '192.64.147.196')
(u'techcrunch.com', 'techcrnuch.com.', 'techcrnuch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.tw.', 'techcrunch.tw', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcrunch-italy.com.', 'techcrunch-italy.com', 'combo', '66.34.16.31')
(u'techcrunch.com', 'techcrubch.com.', 'techcrubch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.live.', 'techcrunch.live', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techhcrunch.com.', 'techhcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrucnh.com.', 'techcrucnh.com', u'typo', '208.73.210.217')
(u'techcrunch.com', 'techcrunch.xyz.', 'techcrunch.xyz', 'wrongTLD', '217.70.184.38')
(u'techcrunch.com', 'techcrunchh.com.', 'techcrunchh.com', u'typo', '185.53.179.7')
(u'techcrunch.com', 'tehcrunch.com.', 'tehcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunchz.com.', 'techcrunchz.com', u'typo', '159.203.113.35')
(u'techcrunch.com', 'techbrunch.ws.', 'techbrunch.ws', u'bits', '64.70.19.203')
(u'techcrunch.com', 'techcrunch.be.', 'techcrunch.be', 'wrongTLD', '104.31.90.240')
(u'techcrunch.com', 'techcrunch.io.', 'techcrunch.io', 'wrongTLD', '198.54.117.212')
(u'techcrunch.com', 'techcrunch.tech.', 'techcrunch.tech', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcrjnch.com.', 'techcrjnch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcruncy.com.', 'techcruncy.com', u'typo', '216.239.34.21')
(u'techcrunch.com', 'tcehcrunch.com.', 'tcehcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunchi.com.', 'techcrunchi.com', u'typo', '165.160.13.20')
(u'techcrunch.com', '5echcrunch.com.', '5echcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch-t.com.', 'techcrunch-t.com', 'combo', '54.76.148.39')
(u'techcrunch.com', 'tchcrunch.com.', 'tchcrunch.com', u'typo', '103.224.212.222')
(u'techcrunch.com', 'tedhcrunch.com.', 'tedhcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.social.', 'techcrunch.social', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techcrfunch.com.', 'techcrfunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.ru.', 'techcrunch.ru', 'wrongTLD', '176.31.179.191')
(u'techcrunch.com', 'techcrunch.sk.', 'techcrunch.sk', 'wrongTLD', '37.9.175.15')
(u'techcrunch.com', 'tecchrunch.com.', 'tecchrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.tw.', 'techcrunch.tw', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techcrnuch.com.', 'techcrnuch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.ws.', 'techcrunch.ws', 'wrongTLD', '64.70.19.203')
(u'techcrunch.com', 'techcrunch.co.il.', 'techcrunch.co.il', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', 'techdrunch.com.', 'techdrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrubch.com.', 'techcrubch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.live.', 'techcrunch.live', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techccrunch.com.', 'techccrunch.com', u'typo', '208.73.211.165')
(u'techcrunch.com', 'techhcrunch.com.', 'techhcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'tecbhcrunch.com.', 'tecbhcrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunch.mobi.', 'techcrunch.mobi', 'wrongTLD', '199.59.242.150')
(u'techcrunch.com', 'techcrunch.tech.', 'techcrunch.tech', 'wrongTLD', '165.160.13.20')
(u'techcrunch.com', 'techcruncy.com.', 'techcruncy.com', u'typo', '216.239.32.21')
(u'techcrunch.com', 'tcehcrunch.com.', 'tcehcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techcrunch.site.', 'techcrunch.site', 'wrongTLD', '165.160.15.20')
(u'techcrunch.com', '5echcrunch.com.', '5echcrunch.com', u'typo', '165.160.13.20')
(u'techcrunch.com', 'techfrunch.com.', 'techfrunch.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunc.com.', 'techcrunc.com', u'typo', '165.160.15.20')
(u'techcrunch.com', 'techcrunche.com.', 'techcrunche.com', u'typo', '118.139.171.1')
(u'techcrunch.com', 'techcrunch.se.', 'techcrunch.se', 'wrongTLD', '72.52.4.119')
(u'techcrunch.com', 'techcrunch.at.', 'techcrunch.at', 'wrongTLD', '54.72.9.51')
