(u'just-eat.co.uk', 'just-eat-healthandsafety.co.uk.', 'just-eat-healthandsafety.co.uk', 'combo', '212.113.144.148')
(u'just-eat.co.uk', 'just-eat-orderwall.com.', 'just-eat-orderwall.com', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-foodhygiene.co.uk.', 'just-eat-foodhygiene.co.uk', 'combo', '212.113.144.148')
(u'just-eat.co.uk', 'justeat.tech.', 'justeat.tech', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.online.', 'justeat.online', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.si.', 'just-eat.si', 'wrongTLD', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-pizza.com.', 'just-eat-pizza.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.fr.', 'justeat.fr', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-cake.com.', 'just-eat-cake.com', 'combo', '109.68.33.25')
(u'just-eat.co.uk', 'just-eat-orderwall.ie.', 'just-eat-orderwall.ie', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.sg.', 'justeat.sg', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-liverpool.co.uk.', 'just-eat-liverpool.co.uk', 'combo', '83.170.69.51')
(u'just-eat.co.uk', 'justeat.co.il.', 'justeat.co.il', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-island.com.', 'just-eat-island.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-allergy.co.uk.', 'just-eat-allergy.co.uk', 'combo', '212.113.144.148')
(u'just-eat.co.uk', 'justeat.sk.', 'justeat.sk', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.tw.', 'just-eat.tw', 'wrongTLD', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-orderwall.com.', 'just-eat-orderwall.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.net.br.', 'just-eat.net.br', 'wrongTLD', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.tech.', 'justeat.tech', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.si.', 'just-eat.si', 'wrongTLD', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.be.', 'justeat.be', u'typo', '104.25.58.109')
(u'just-eat.co.uk', 'justeat.tokyo.', 'justeat.tokyo', u'typo', '162.255.119.248')
(u'just-eat.co.uk', 'just-eats.com.', 'just-eats.com', u'typo', '69.172.201.218')
(u'just-eat.co.uk', 'justeat.sg.', 'justeat.sg', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-orderwall.ie.', 'just-eat-orderwall.ie', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.amsterdam.', 'justeat.amsterdam', u'typo', '52.58.78.16')
(u'just-eat.co.uk', 'justeat.ws.', 'justeat.ws', u'typo', '64.70.19.203')
(u'just-eat.co.uk', 'justeat.cl.', 'justeat.cl', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat.tw.', 'just-eat.tw', 'wrongTLD', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-halal.org.', 'just-eat-halal.org', 'combo', '50.63.202.54')
(u'just-eat.co.uk', 'just-eat.net.br.', 'just-eat.net.br', 'wrongTLD', '165.160.13.20')
(u'just-eat.co.uk', 'justmeat.nl.', 'justmeat.nl', u'bits', '37.97.254.27')
(u'just-eat.co.uk', 'justeat.scot.', 'justeat.scot', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-smood.com.', 'just-eat-smood.com', 'combo', '188.165.225.113')
(u'just-eat.co.uk', 'tienda-just-eat.com.', 'tienda-just-eat.com', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.co.nz.', 'justeat.co.nz', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-halal.eu.', 'just-eat-halal.eu', 'combo', '217.160.233.197')
(u'just-eat.co.uk', 'just-eat.nl.', 'just-eat.nl', 'wrongTLD', '104.25.37.117')
(u'just-eat.co.uk', 'just-at.com.', 'just-at.com', u'typo', '210.252.68.93')
(u'just-eat.co.uk', 'justeat.ch.', 'justeat.ch', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just--eat.es.', 'just--eat.es', u'typo', '141.8.224.169')
(u'just-eat.co.uk', 'justeat.site.', 'justeat.site', u'typo', '192.99.30.80')
(u'just-eat.co.uk', 'justeat.co.za.', 'justeat.co.za', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.xxx.', 'justeat.xxx', u'typo', '199.253.28.9')
(u'just-eat.co.uk', 'justeat.cl.', 'justeat.cl', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-gods-food.com.', 'just-eat-gods-food.com', 'combo', '66.43.52.239')
(u'just-eat.co.uk', 'justeat.scot.', 'justeat.scot', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'tienda-just-eat.com.', 'tienda-just-eat.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.co.nz.', 'justeat.co.nz', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'jsut-eat.com.', 'jsut-eat.com', u'typo', '45.79.161.164')
(u'just-eat.co.uk', 'just-eat-offer.co.uk.', 'just-eat-offer.co.uk', 'combo', '185.176.43.78')
(u'just-eat.co.uk', 'just-eat-orderpoint.com.', 'just-eat-orderpoint.com', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.top.', 'justeat.top', u'typo', '195.208.1.102')
(u'just-eat.co.uk', 'justeat.ch.', 'justeat.ch', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.fi.', 'justeat.fi', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.co.za.', 'justeat.co.za', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.net.', 'just-eat.net', 'wrongTLD', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.biz.', 'justeat.biz', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.eu.', 'justeat.eu', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat.com.', 'just-eat.com', 'wrongTLD', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-it.tube.', 'just-eat-it.tube', 'combo', '88.214.193.70')
(u'just-eat.co.uk', 'justeat.hk.', 'justeat.hk', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'dont-just-eat.com.', 'dont-just-eat.com', 'combo', '94.136.40.51')
(u'just-eat.co.uk', 'justeat.co.', 'justeat.co', u'typo', '165.160.15.20')
