(u'shutterfly.com', 'shutterfly.ch.', 'shutterfly.ch', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterdly.ws.', 'shutterdly.ws', u'bits', '64.70.19.203')
(u'shutterfly.com', 'shutterflu.com.', 'shutterflu.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shutterfli.com.', 'shutterfli.com', u'bits', '136.179.236.216')
(u'shutterfly.com', 'shutterfly.be.', 'shutterfly.be', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutderfly.com.', 'shutderfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shutterefly.com.', 'shutterefly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflys.com.', 'shutterflys.com', u'typo', '72.52.10.14')
(u'shutterfly.com', 'shytterfly.com.', 'shytterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttertfly.com.', 'shuttertfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.co.uk.', 'shutterfly.co.uk', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'dhutterfly.com.', 'dhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shgutterfly.com.', 'shgutterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shutterfloy.com.', 'shutterfloy.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shutterffly.com.', 'shutterffly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttterfly.com.', 'shuttterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'suhutterfly.com.', 'suhutterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttergly.com.', 'shuttergly.com', u'bits', '52.86.163.26')
(u'shutterfly.com', 'sghutterfly.com.', 'sghutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutferfly.com.', 'shutferfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflu.com.', 'shutterflu.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shu5terfly.com.', 'shu5terfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflky.com.', 'shutterflky.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttirfly.com.', 'shuttirfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'invite-shutterfly.com.', 'invite-shutterfly.com', 'combo', '34.198.200.251')
(u'shutterfly.com', 'shgutterfly.com.', 'shgutterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shuttercly.com.', 'shuttercly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.pl.', 'shutterfly.pl', 'wrongTLD', '151.80.250.112')
(u'shutterfly.com', 'shutterfl.com.', 'shutterfl.com', u'typo', '103.224.182.252')
(u'shutterfly.com', 'shuttergly.com.', 'shuttergly.com', u'bits', '52.52.64.247')
(u'shutterfly.com', 'shuttedrfly.com.', 'shuttedrfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterfly-offers.com.', 'shutterfly-offers.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'whutterfly.com.', 'whutterfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shjutterfly.com.', 'shjutterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'sgutterfly.com.', 'sgutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutter-fly.net.', 'shutter-fly.net', u'typo', '136.179.236.70')
(u'shutterfly.com', 'slutterfly.com.', 'slutterfly.com', u'bits', '23.22.216.234')
(u'shutterfly.com', 'shutterflyl.com.', 'shutterflyl.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'snutterfly.com.', 'snutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.mobi.', 'shutterfly.mobi', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-photography.com.', 'shutterfly-photography.com', 'combo', '52.52.18.176')
(u'shutterfly.com', 'shuttrfly.com.', 'shuttrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfrly.com.', 'shutterfrly.com', u'typo', '199.191.50.73')
(u'shutterfly.com', 'shuttwrfly.com.', 'shuttwrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'suutterfly.com.', 'suutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfy.com.', 'shutterfy.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterbly.com.', 'shutterbly.com', u'bits', '52.86.163.26')
(u'shutterfly.com', 'shutterfly.xxx.', 'shutterfly.xxx', 'wrongTLD', '199.253.28.9')
(u'shutterfly.com', 'shutterfly-inc.org.', 'shutterfly-inc.org', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shtterfly.com.', 'shtterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'suhutterfly.com.', 'suhutterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterfly-inc.net.', 'shutterfly-inc.net', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-coupons.com.', 'shutterfly-coupons.com', 'combo', '5.196.117.32')
(u'shutterfly.com', 'shurtterfly.com.', 'shurtterfly.com', u'typo', '54.246.80.42')
(u'shutterfly.com', 'shutterflly.com.', 'shutterflly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.us.', 'shutterfly.us', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shjtterfly.com.', 'shjtterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflt.com.', 'shutterflt.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterbly.com.', 'shutterbly.com', u'bits', '52.52.64.247')
(u'shutterfly.com', 'shutterfly.com.pl.', 'shutterfly.com.pl', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shuttedrfly.com.', 'shuttedrfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shutterlfy.com.', 'shutterlfy.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-inc.com.', 'shutterfly-inc.com', 'combo', '136.179.236.71')
(u'shutterfly.com', 'shutterflyu.com.', 'shutterflyu.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutyterfly.com.', 'shutyterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shiutterfly.com.', 'shiutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttferfly.com.', 'shuttferfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttertly.com.', 'shuttertly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflye.com.', 'shutterflye.com', u'typo', '174.137.132.42')
(u'shutterfly.com', 'shutterfky.com.', 'shutterfky.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shyutterfly.com.', 'shyutterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shuitterfly.com.', 'shuitterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'slutterfly.com.', 'slutterfly.com', u'bits', '52.52.18.176')
(u'shutterfly.com', 'shutterfly.ws.', 'shutterfly.ws', 'wrongTLD', '64.70.19.203')
(u'shutterfly.com', 'shutyerfly.com.', 'shutyerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflyt.com.', 'shutterflyt.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttercfly.com.', 'shuttercfly.com', u'typo', '54.217.222.113')
