(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.net.', 'rabobank.net', 'wrongTLD', '145.72.70.20')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'reabobank.nl.', 'reabobank.nl', u'typo', '109.201.135.34')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.jp.', 'rabobank.jp', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.co.in.', 'rabobank.co.in', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.ch.', 'rabobank.ch', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank-research.com.', 'rabobank-research.com', 'combo', '173.222.148.49')
(u'rabobank.com', 'rabobankk.nl.', 'rabobankk.nl', u'typo', '72.52.179.175')
(u'rabobank.com', 'rabobank.sn.', 'rabobank.sn', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.lt.', 'rabobank.lt', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank-research.net.', 'rabobank-research.net', 'combo', '23.15.7.144')
(u'rabobank.com', 'rabobank.co.il.', 'rabobank.co.il', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.ph.', 'rabobank.ph', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.sg.', 'rabobank.sg', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.tm.', 'rabobank.tm', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.com.hk.', 'rabobank.com.hk', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.fi.', 'rabobank.fi', 'wrongTLD', '104.96.221.105')
(u'rabobank.com', 'rabobank.pe.', 'rabobank.pe', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.kr.', 'rabobank.kr', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'abobank.com.', 'abobank.com', u'typo', '103.224.182.240')
(u'rabobank.com', 'rabobank.cr.', 'rabobank.cr', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.co.in.', 'rabobank.co.in', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.la.', 'rabobank.la', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank.tm.', 'rabobank.tm', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.com.ni.', 'rabobank.com.ni', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.com.tw.', 'rabobank.com.tw', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.jp.', 'rabobank.jp', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.com.pt.', 'rabobank.com.pt', 'wrongTLD', '104.96.220.114')
(u'rabobank.com', 'mail.nfc2-rabobank.us.', 'mail.nfc2-rabobank.us', 'combo', '94.177.226.53')
(u'rabobank.com', 'rabobank.com.es.', 'rabobank.com.es', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobqnk.nl.', 'rabobqnk.nl', u'bits', '72.52.4.119')
(u'rabobank.com', 'rabobank.website.', 'rabobank.website', 'wrongTLD', '72.52.4.119')
(u'rabobank.com', 'rabobank.xxx.', 'rabobank.xxx', 'wrongTLD', '199.253.28.9')
(u'rabobank.com', 'robobank.com.', 'robobank.com', u'homo', '50.63.202.3')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'sabobank.com.', 'sabobank.com', u'bits', '79.98.25.1')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank-research.com.', 'rabobank-research.com', 'combo', '23.61.194.242')
(u'rabobank.com', 'rsbobank.nl.', 'rsbobank.nl', u'typo', '199.59.242.150')
(u'rabobank.com', 'rabobank.ch.', 'rabobank.ch', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.pe.', 'rabobank.pe', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.sr.', 'rabobank.sr', 'wrongTLD', '85.119.19.147')
(u'rabobank.com', 'rrabobank.com.', 'rrabobank.com', u'typo', '198.54.117.212')
(u'rabobank.com', 'rabobank.vn.', 'rabobank.vn', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.tm.', 'rabobank.tm', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.si.', 'rabobank.si', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.com.pt.', 'rabobank.com.pt', 'wrongTLD', '104.96.220.185')
(u'rabobank.com', 'rabobakn.nl.', 'rabobakn.nl', u'typo', '72.52.179.175')
(u'rabobank.com', 'rabobank.co.il.', 'rabobank.co.il', 'wrongTLD', '23.15.8.154')
