(u'pbskids.org', 'pbkids.com.', 'pbkids.com', u'typo', '199.87.8.60')
(u'pbskids.org', 'pvskids.org.', 'pvskids.org', u'typo', '5.79.68.107')
(u'pbskids.org', 'pvskids.org.', 'pvskids.org', u'typo', '5.79.68.108')
(u'pbskids.org', 'pbskisds.org.', 'pbskisds.org', u'typo', '208.73.211.177')
(u'pbskids.org', 'pbekids.com.', 'pbekids.com', u'typo', '103.224.212.222')
(u'pbskids.org', 'pbskis.org.', 'pbskis.org', u'typo', '51.254.28.160')
(u'pbskids.org', 'pbskid.org.', 'pbskid.org', u'typo', '198.50.233.231')
(u'pbskids.org', 'pbskidss.org.', 'pbskidss.org', u'typo', '208.73.210.202')
(u'pbskids.org', 'pbbskids.org.', 'pbbskids.org', u'typo', '208.73.210.202')
(u'pbskids.org', 'pbskisds.com.', 'pbskisds.com', u'typo', '103.224.212.222')
(u'pbskids.org', 'pbskis.com.', 'pbskis.com', u'typo', '51.254.28.160')
(u'pbskids.org', 'pbskid.org.', 'pbskid.org', u'typo', '198.50.233.236')
(u'pbskids.org', 'rbskids.com.', 'rbskids.com', u'bits', '141.8.224.169')
(u'pbskids.org', 'qbskids.com.', 'qbskids.com', u'bits', '54.72.11.253')
(u'pbskids.org', 'pbscids.com.', 'pbscids.com', u'bits', '185.53.178.6')
(u'pbskids.org', 'pbsdkids.com.', 'pbsdkids.com', u'typo', '208.73.211.177')
(u'pbskids.org', 'pbskids-games.net.', 'pbskids-games.net', 'combo', '104.27.165.21')
(u'pbskids.org', 'pbskiss.org.', 'pbskiss.org', u'typo', '95.211.219.65')
(u'pbskids.org', 'pbskidis.org.', 'pbskidis.org', u'homo', '103.224.212.222')
(u'pbskids.org', 'pbskiss.org.', 'pbskiss.org', u'typo', '95.211.219.66')
(u'pbskids.org', 'pbckids.com.', 'pbckids.com', u'bits', '158.69.143.113')
(u'pbskids.org', 'pbskis.org.', 'pbskis.org', u'typo', '158.69.143.113')
(u'pbskids.org', 'pbskiss.org.', 'pbskiss.org', u'typo', '95.211.219.67')
(u'pbskids.org', 'pbskds.org.', 'pbskds.org', u'typo', '208.73.211.165')
(u'pbskids.org', 'pbskisds.org.', 'pbskisds.org', u'typo', '208.73.210.202')
(u'pbskids.org', 'pbakids.com.', 'pbakids.com', u'typo', '103.224.182.216')
(u'pbskids.org', 'pbskides.com.', 'pbskides.com', u'typo', '185.53.179.6')
(u'pbskids.org', 'pbswkids.com.', 'pbswkids.com', u'typo', '185.53.178.7')
(u'pbskids.org', 'pbskidfs.ws.', 'pbskidfs.ws', u'typo', '64.70.19.203')
(u'pbskids.org', 'pskids.org.', 'pskids.org', u'typo', '37.48.65.136')
(u'pbskids.org', 'pbskids.ws.', 'pbskids.ws', 'wrongTLD', '64.70.19.203')
(u'pbskids.org', 'pbskis.com.', 'pbskis.com', u'typo', '158.69.143.112')
(u'pbskids.org', 'pbskids-games.net.', 'pbskids-games.net', 'combo', '104.27.164.21')
(u'pbskids.org', 'pbskis.com.', 'pbskis.com', u'typo', '158.69.143.113')
(u'pbskids.org', 'pbskds.com.', 'pbskds.com', u'typo', '208.73.211.165')
(u'pbskids.org', 'pbskidz.com.', 'pbskidz.com', u'typo', '95.211.219.66')
(u'pbskids.org', 'pbskiss.com.', 'pbskiss.com', u'typo', '208.91.196.126')
(u'pbskids.org', 'bpskids.org.', 'bpskids.org', u'typo', '149.202.120.33')
(u'pbskids.org', 'pbskibs.org.', 'pbskibs.org', u'homo', '72.52.4.122')
(u'pbskids.org', 'psbkids.com.', 'psbkids.com', u'typo', '185.53.179.7')
(u'pbskids.org', 'pbkids.xxx.', 'pbkids.xxx', u'typo', '199.253.28.249')
(u'pbskids.org', 'pbsikds.org.', 'pbsikds.org', u'typo', '50.63.202.36')
(u'pbskids.org', 'pbakids.org.', 'pbakids.org', u'typo', '54.72.9.51')
(u'pbskids.org', 'pbsdkids.org.', 'pbsdkids.org', u'typo', '69.162.80.60')
(u'pbskids.org', 'pbsskids.org.', 'pbsskids.org', u'typo', '208.73.211.177')
(u'pbskids.org', 'pbskidd.org.', 'pbskidd.org', u'typo', '103.224.182.241')
(u'pbskids.org', 'bpskids.org.', 'bpskids.org', u'typo', '149.202.120.38')
(u'pbskids.org', 'bpskids.org.', 'bpskids.org', u'typo', '149.202.120.39')
(u'pbskids.org', 'pbskibs.com.', 'pbskibs.com', u'homo', '208.73.211.165')
(u'pbskids.org', 'pbsdkids.com.', 'pbsdkids.com', u'typo', '208.73.210.202')
(u'pbskids.org', 'lbskids.org.', 'lbskids.org', u'typo', '50.63.202.47')
(u'pbskids.org', 'pobskids.org.', 'pobskids.org', u'typo', '103.224.182.214')
(u'pbskids.org', 'prskids.com.', 'prskids.com', u'bits', '72.167.191.69')
(u'pbskids.org', 'pbskids-games.com.', 'pbskids-games.com', 'combo', '192.185.111.34')
(u'pbskids.org', 'rbskids.net.', 'rbskids.net', u'bits', '50.63.202.31')
(u'pbskids.org', 'pbskdis.org.', 'pbskdis.org', u'typo', '98.124.245.24')
(u'pbskids.org', 'pbskidss.org.', 'pbskidss.org', u'typo', '208.73.210.217')
(u'pbskids.org', 'pbswkids.org.', 'pbswkids.org', u'typo', '208.91.196.152')
(u'pbskids.org', 'pbbskids.org.', 'pbbskids.org', u'typo', '208.73.210.217')
(u'pbskids.org', 'pbsskids.org.', 'pbsskids.org', u'typo', '208.73.210.202')
(u'pbskids.org', 'pbskide.org.', 'pbskide.org', u'typo', '72.52.4.122')
(u'pbskids.org', 'obskids.org.', 'obskids.org', u'typo', '162.210.195.122')
(u'pbskids.org', 'bskids.com.', 'bskids.com', u'typo', '95.211.219.66')
(u'pbskids.org', 'pskids.org.', 'pskids.org', u'typo', '37.48.65.143')
(u'pbskids.org', 'bskids.com.', 'bskids.com', u'typo', '95.211.219.67')
(u'pbskids.org', 'pbskds.org.', 'pbskds.org', u'typo', '208.73.211.177')
(u'pbskids.org', 'pbskidds.com.', 'pbskidds.com', u'typo', '72.52.4.122')
(u'pbskids.org', 'obskids.org.', 'obskids.org', u'typo', '162.210.195.123')
(u'pbskids.org', 'pbskids-game.com.', 'pbskids-game.com', 'combo', '103.224.212.222')
(u'pbskids.org', 'pbckids.org.', 'pbckids.org', u'bits', '103.224.182.221')
(u'pbskids.org', 'tbskids.org.', 'tbskids.org', u'bits', '165.160.15.20')
(u'pbskids.org', 'pbskids.ca.', 'pbskids.ca', 'wrongTLD', '54.72.9.51')
(u'pbskids.org', 'pbskisds.org.', 'pbskisds.org', u'typo', '208.73.210.217')
(u'pbskids.org', 'pbslids.org.', 'pbslids.org', u'typo', '103.224.182.241')
(u'pbskids.org', 'tbskids.com.', 'tbskids.com', u'bits', '199.59.242.150')
(u'pbskids.org', 'pbskide.com.', 'pbskide.com', u'typo', '72.52.4.122')
(u'pbskids.org', 'pbeskids.org.', 'pbeskids.org', u'typo', '69.162.80.55')
(u'pbskids.org', 'pbskds.com.', 'pbskds.com', u'typo', '208.73.211.177')
(u'pbskids.org', 'pbskidsd.org.', 'pbskidsd.org', u'typo', '95.211.219.65')
(u'pbskids.org', 'pbskidsd.org.', 'pbskidsd.org', u'typo', '95.211.219.66')
(u'pbskids.org', 'pbskkids.org.', 'pbskkids.org', u'typo', '158.69.143.99')
(u'pbskids.org', 'phskids.org.', 'phskids.org', u'typo', '51.254.28.160')
(u'pbskids.org', 'pbskids.mobi.', 'pbskids.mobi', 'wrongTLD', '52.20.255.90')
(u'pbskids.org', 'pbeskids.org.', 'pbeskids.org', u'typo', '69.162.80.57')
(u'pbskids.org', 'pbskidsd.org.', 'pbskidsd.org', u'typo', '95.211.219.67')
(u'pbskids.org', 'phskids.org.', 'phskids.org', u'typo', '51.254.28.162')
(u'pbskids.org', 'pbs-kids.org.', 'pbs-kids.org', u'typo', '199.59.242.150')
(u'pbskids.org', 'bskids.com.', 'bskids.com', u'typo', '69.162.80.56')
(u'pbskids.org', 'bskids.com.', 'bskids.com', u'typo', '69.162.80.57')
(u'pbskids.org', 'ppbskids.org.', 'ppbskids.org', u'typo', '54.72.9.51')
(u'pbskids.org', 'pbskids.co.uk.', 'pbskids.co.uk', 'wrongTLD', '72.52.4.122')
(u'pbskids.org', 'pbskibs.com.', 'pbskibs.com', u'homo', '208.73.211.177')
(u'pbskids.org', 'pbskds.org.', 'pbskds.org', u'typo', '208.73.210.202')
(u'pbskids.org', 'pbsdkids.com.', 'pbsdkids.com', u'typo', '208.73.210.217')
