(u'homedepot.com', 'homedep0ot.com.', 'homedep0ot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepoot.com.', 'homedepoot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homkedepot.com.', 'homkedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'honedepot.com.', 'honedepot.com', u'homo', '52.52.18.176')
(u'homedepot.com', 'homedepotc.com.', 'homedepotc.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homeeepot.com.', 'homeeepot.com', u'bits', '52.52.18.176')
(u'homedepot.com', 'hornedepot.com.', 'hornedepot.com', u'homo', '104.16.89.230')
(u'homedepot.com', 'homedepot.my.', 'homedepot.my', 'wrongTLD', '104.28.12.24')
(u'homedepot.com', 'homedepot.ph.', 'homedepot.ph', 'wrongTLD', '207.11.34.219')
(u'homedepot.com', 'homecepot.ca.', 'homecepot.ca', u'typo', '199.59.242.150')
(u'homedepot.com', 'homedeopt.com.', 'homedeopt.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homederot.com.', 'homederot.com', u'bits', '52.52.18.176')
(u'homedepot.com', 'homedeplot.com.', 'homedeplot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'home3depot.com.', 'home3depot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homed4pot.com.', 'homed4pot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepots.net.', 'homedepots.net', u'typo', '52.86.163.26')
(u'homedepot.com', 'homede-pot.com.', 'homede-pot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedepotl.com.', 'homedepotl.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepott.com.', 'homedepott.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homexdepot.com.', 'homexdepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'omedepot.com.', 'omedepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'humedepot.com.', 'humedepot.com', u'homo', '52.86.163.26')
(u'homedepot.com', 'homedepot.pt.', 'homedepot.pt', 'wrongTLD', '72.52.4.120')
(u'homedepot.com', 'homedepo.co.', 'homedepo.co', u'typo', '199.59.242.150')
(u'homedepot.com', 'homedepo.co.kr.', 'homedepo.co.kr', u'typo', '121.254.178.252')
(u'homedepot.com', 'homedepo.online.', 'homedepo.online', u'typo', '89.40.121.111')
(u'homedepot.com', 'nomedepot.com.', 'nomedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedepat.com.', 'homedepat.com', u'homo', '52.52.18.176')
(u'homedepot.com', 'hlomedepot.com.', 'hlomedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homefdepot.net.', 'homefdepot.net', u'typo', '52.52.18.176')
(u'homedepot.com', 'hompedepot.com.', 'hompedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homddepot.com.', 'homddepot.com', u'bits', '23.22.216.234')
(u'homedepot.com', 'homedrpot.com.', 'homedrpot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'hojedepot.com.', 'hojedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homede0ot.com.', 'homede0ot.com', u'bits', '52.52.64.247')
(u'homedepot.com', 'homedepop.com.', 'homedepop.com', u'bits', '23.22.216.234')
