(u'lottomatica.it', 'lottomatici.com.', 'lottomatici.com', u'homo', '104.27.134.55')
(u'lottomatica.it', 'lottomatica.info.', 'lottomatica.info', 'wrongTLD', '62.149.128.151')
(u'lottomatica.it', 'lottomatica.sk.', 'lottomatica.sk', 'wrongTLD', '109.236.0.250')
(u'lottomatica.it', 'lottomatica.info.', 'lottomatica.info', 'wrongTLD', '62.149.128.154')
(u'lottomatica.it', 'lottomatica.cloud.', 'lottomatica.cloud', 'wrongTLD', '62.149.128.160')
(u'lottomatica.it', 'lottomatics.es.', 'lottomatics.es', u'typo', '209.222.14.3')
(u'lottomatica.it', 'lottomatica.info.', 'lottomatica.info', 'wrongTLD', '62.149.128.157')
(u'lottomatica.it', 'lottomatica.cloud.', 'lottomatica.cloud', 'wrongTLD', '62.149.128.163')
(u'lottomatica.it', 'lottomatica.cloud.', 'lottomatica.cloud', 'wrongTLD', '62.149.128.166')
(u'lottomatica.it', 'lottomatic.com.es.', 'lottomatic.com.es', u'typo', '31.193.226.47')
(u'lottomatica.it', 'ottomatica.com.', 'ottomatica.com', u'typo', '50.63.202.63')
(u'lottomatica.it', 'lottomatica.info.', 'lottomatica.info', 'wrongTLD', '62.149.128.160')
(u'lottomatica.it', 'lottomatica.group.', 'lottomatica.group', 'wrongTLD', '217.160.233.25')
(u'lottomatica.it', 'lottomatica.info.', 'lottomatica.info', 'wrongTLD', '62.149.128.163')
