(u'bet-at-home.com', 'bet-ad-home.pl.', 'bet-ad-home.pl', u'bits', '46.105.166.202')
(u'bet-at-home.com', 'bet-at-homr.com.', 'bet-at-homr.com', u'typo', '212.91.6.58')
(u'bet-at-home.com', 'beta-t-home.com.', 'beta-t-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home-bonus.com.', 'bet-at-home-bonus.com', 'combo', '212.91.7.33')
(u'bet-at-home.com', 'beet-at-home.com.', 'beet-at-home.com', u'typo', '81.19.145.77')
(u'bet-at-home.com', 'bet-at-home.bg.', 'bet-at-home.bg', 'wrongTLD', '52.59.167.84')
(u'bet-at-home.com', 'bet-at-bome.com.', 'bet-at-bome.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-at-hoe.com.', 'bet-at-hoe.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-hom.com.', 'bet-at-hom.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'et-at-home.com.', 'et-at-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bonus-bet-at-home.com.', 'bonus-bet-at-home.com', 'combo', '104.28.15.3')
(u'bet-at-home.com', 'bet--at-home.com.', 'bet--at-home.com', u'typo', '50.63.202.31')
(u'bet-at-home.com', 'bet-at-home.sl.', 'bet-at-home.sl', 'wrongTLD', '52.59.167.84')
(u'bet-at-home.com', 'det-at-home.com.', 'det-at-home.com', u'homo', '103.215.214.117')
(u'bet-at-home.com', 'bet-att-home.ch.', 'bet-att-home.ch', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-athome.com.', 'bet-athome.com', u'typo', '50.87.150.231')
(u'bet-at-home.com', 'bet-ta-home.com.', 'bet-ta-home.com', u'typo', '72.52.4.122')
(u'bet-at-home.com', 'bat-at-home.com.', 'bat-at-home.com', u'homo', '85.17.10.131')
(u'bet-at-home.com', 'bet-a-home.com.', 'bet-a-home.com', u'typo', '199.59.242.150')
(u'bet-at-home.com', 'bet-at-hoome.com.', 'bet-at-hoome.com', u'typo', '50.63.202.11')
(u'bet-at-home.com', 'bet-at-ome.de.', 'bet-at-ome.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-ay-home.com.', 'bet-ay-home.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-ath-ome.com.', 'bet-ath-ome.com', u'typo', '50.63.202.26')
(u'bet-at-home.com', 'bet-ag-home.com.', 'bet-ag-home.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-at--home.com.', 'bet-at--home.com', u'typo', '50.63.202.1')
(u'bet-at-home.com', 'bet-at-home-bonus.net.', 'bet-at-home-bonus.net', 'combo', '208.91.197.91')
(u'bet-at-home.com', 'bte-at-home.com.', 'bte-at-home.com', u'typo', '184.168.221.24')
(u'bet-at-home.com', 'bet-art-home.com.', 'bet-art-home.com', u'typo', '50.63.202.5')
(u'bet-at-home.com', 'ber-at-home.com.', 'ber-at-home.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-zt-home.com.', 'bet-zt-home.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-at-hom.co.', 'bet-at-hom.co', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-ome.com.', 'bet-at-ome.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home.name.', 'bet-at-home.name', 'wrongTLD', '51.254.41.57')
(u'bet-at-home.com', 'bet-aat-home.com.', 'bet-aat-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bed-at-home.com.', 'bed-at-home.com', u'bits', '85.17.10.131')
(u'bet-at-home.com', 'bet-at-home-mobil.se.', 'bet-at-home-mobil.se', 'combo', '185.53.179.8')
(u'bet-at-home.com', 'bet-st-home.com.', 'bet-st-home.com', u'typo', '50.63.202.18')
(u'bet-at-home.com', 'bonus-bet-at-home.com.', 'bonus-bet-at-home.com', 'combo', '104.28.14.3')
(u'bet-at-home.com', 'casino-bet-at-home.de.', 'casino-bet-at-home.de', 'combo', '89.31.143.1')
(u'bet-at-home.com', 'vet-at-home.co.uk.', 'vet-at-home.co.uk', u'typo', '217.160.223.111')
(u'bet-at-home.com', 'bet-at-home-invest.com.', 'bet-at-home-invest.com', 'combo', '50.63.202.44')
(u'bet-at-home.com', 'bet-at-home.tw.', 'bet-at-home.tw', 'wrongTLD', '51.254.41.57')
(u'bet-at-home.com', 'bett-at-home.com.', 'bett-at-home.com', u'typo', '194.63.248.52')
(u'bet-at-home.com', 'ns2.bet-at-home-loft.com.', 'ns2.bet-at-home-loft.com', 'combo', '208.73.201.94')
(u'bet-at-home.com', 'bet-at-home-gutschein.com.', 'bet-at-home-gutschein.com', 'combo', '208.91.197.91')
(u'bet-at-home.com', 'bet-ar-home.com.', 'bet-ar-home.com', u'typo', '192.185.21.106')
(u'bet-at-home.com', 'bet-at-home-bonuskode.com.', 'bet-at-home-bonuskode.com', 'combo', '159.253.222.134')
(u'bet-at-home.com', 'bet-at-hoje.com.', 'bet-at-hoje.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'brt-at-home.com.', 'brt-at-home.com', u'typo', '85.17.10.131')
(u'bet-at-home.com', 'bet-at-home.com.tr.', 'bet-at-home.com.tr', 'wrongTLD', '52.59.167.84')
(u'bet-at-home.com', 'bet-at-hoem.com.', 'bet-at-hoem.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home-open.com.', 'bet-at-home-open.com', 'combo', '87.230.103.23')
(u'bet-at-home.com', 'bet-at-home-cup.com.', 'bet-at-home-cup.com', 'combo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-home-trophy.com.', 'bet-at-home-trophy.com', 'combo', '51.254.41.57')
(u'bet-at-home.com', 'bat-at-home.co.', 'bat-at-home.co', u'homo', '51.254.41.57')
(u'bet-at-home.com', 'bet-ad-home.com.', 'bet-ad-home.com', u'bits', '85.17.10.131')
(u'bet-at-home.com', 'bet-att-home.com.', 'bet-att-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'ebt-at-home.com.', 'ebt-at-home.com', u'typo', '50.63.202.24')
(u'bet-at-home.com', 'bt-at-home.at.', 'bt-at-home.at', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'het-at-home.com.', 'het-at-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bwt-at-home.com.', 'bwt-at-home.com', u'typo', '85.17.10.131')
(u'bet-at-home.com', 'bet-athome.net.', 'bet-athome.net', u'typo', '199.58.176.253')
(u'bet-at-home.com', 'be-tat-home.com.', 'be-tat-home.com', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bett-at-home.de.', 'bett-at-home.de', u'typo', '51.254.41.57')
(u'bet-at-home.com', 'bet-at-hoke.com.', 'bet-at-hoke.com', u'typo', '52.4.209.250')
(u'bet-at-home.com', 'bet-a-home.net.', 'bet-a-home.net', u'typo', '46.30.213.197')
