(u'britishairways.com', 'britiishairways.com.', 'britiishairways.com', u'typo', '72.52.4.122')
(u'britishairways.com', 'britishairwas.de.', 'britishairwas.de', u'typo', '54.72.9.51')
(u'britishairways.com', 'britishairvays.com.', 'britishairvays.com', u'homo', '93.94.226.68')
(u'britishairways.com', 'briteshairways.com.', 'briteshairways.com', u'homo', '141.8.224.93')
(u'britishairways.com', 'britishair-ways.com.', 'britishair-ways.com', u'typo', '199.168.190.252')
(u'britishairways.com', 'britishairways.one.', 'britishairways.one', 'wrongTLD', '46.30.215.25')
(u'britishairways.com', 'britishairways.se.', 'britishairways.se', 'wrongTLD', '163.166.156.201')
(u'britishairways.com', 'britishairways.lv.', 'britishairways.lv', 'wrongTLD', '163.166.156.201')
(u'britishairways.com', 'britishsirways.co.uk.', 'britishsirways.co.uk', u'typo', '103.224.182.251')
(u'britishairways.com', 'britishairways.cf.', 'britishairways.cf', 'wrongTLD', '185.26.230.129')
(u'britishairways.com', 'britishaiirways.com.', 'britishaiirways.com', u'typo', '209.99.64.25')
(u'britishairways.com', 'britishairways.vip.', 'britishairways.vip', 'wrongTLD', '47.89.58.32')
(u'britishairways.com', 'britishairwais.com.', 'britishairwais.com', u'bits', '46.166.189.98')
(u'britishairways.com', 'britihsairways.com.', 'britihsairways.com', u'typo', '37.48.65.151')
(u'britishairways.com', 'ask-britishairways.com.', 'ask-britishairways.com', 'combo', '163.166.156.201')
(u'britishairways.com', 'britisairways.de.', 'britisairways.de', u'typo', '208.73.210.217')
(u'britishairways.com', 'britihsairways.com.', 'britihsairways.com', u'typo', '37.48.65.153')
(u'britishairways.com', 'britishairway.co.uk.', 'britishairway.co.uk', u'typo', '83.223.98.77')
(u'britishairways.com', 'britihsairways.com.', 'britihsairways.com', u'typo', '37.48.65.154')
(u'britishairways.com', 'brritishairways.com.', 'brritishairways.com', u'typo', '184.50.239.81')
(u'britishairways.com', 'british-airways.online.', 'british-airways.online', u'typo', '198.54.117.212')
(u'britishairways.com', 'brritishairways.com.', 'brritishairways.com', u'typo', '184.50.239.82')
(u'britishairways.com', 'britishaitways.com.', 'britishaitways.com', u'typo', '185.53.178.7')
(u'britishairways.com', 'britishairways-t5.com.', 'britishairways-t5.com', 'combo', '185.26.230.129')
(u'britishairways.com', 'britishaorways.com.', 'britishaorways.com', u'homo', '54.246.80.42')
(u'britishairways.com', 'britishairways.nl.', 'britishairways.nl', 'wrongTLD', '103.224.182.252')
(u'britishairways.com', 'britishairwyas.com.', 'britishairwyas.com', u'typo', '199.59.242.150')
(u'britishairways.com', 'britishairwaays.com.', 'britishairwaays.com', u'typo', '54.246.80.42')
(u'britishairways.com', 'britishiarways.co.uk.', 'britishiarways.co.uk', u'typo', '69.162.80.59')
(u'britishairways.com', 'britishairways.tel.', 'britishairways.tel', 'wrongTLD', '52.50.143.27')
(u'britishairways.com', 'britishairways.de.', 'britishairways.de', 'wrongTLD', '185.26.230.129')
