(u'comerica.com', 'comeica.com.', 'comeica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'omerica.com.', 'omerica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'cometica.net.', 'cometica.net', u'typo', '82.165.62.100')
(u'comerica.com', 'comreica.com.', 'comreica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'katy-comericalplumbing.com.', 'katy-comericalplumbing.com', 'combo', '107.180.2.159')
(u'comerica.com', 'comerica.xxx.', 'comerica.xxx', 'wrongTLD', '199.253.28.9')
(u'comerica.com', 'comerika.com.', 'comerika.com', u'bits', '72.52.10.14')
(u'comerica.com', 'coerica.com.', 'coerica.com', u'typo', '103.224.212.245')
(u'comerica.com', 'comerica-usa.org.', 'comerica-usa.org', 'combo', '72.52.10.14')
(u'comerica.com', 'comericap.com.', 'comericap.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comerica-usa.net.', 'comerica-usa.net', 'combo', '72.52.10.14')
(u'comerica.com', 'wbsbanking-comerica.com.', 'wbsbanking-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comeroca.com.', 'comeroca.com', u'homo', '72.52.10.14')
(u'comerica.com', 'comerica-usa.com.', 'comerica-usa.com', 'combo', '72.52.10.14')
(u'comerica.com', 'c0merica.com.', 'c0merica.com', u'homo', '72.52.10.14')
(u'comerica.com', 'comwerica.com.', 'comwerica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comerica-banking.com.', 'comerica-banking.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comerica.eu.', 'comerica.eu', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 's-comerica.com.', 's-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comedica.com.co.', 'comedica.com.co', u'typo', '37.59.226.82')
(u'comerica.com', 'bomerica.com.', 'bomerica.com', u'bits', '50.63.202.75')
(u'comerica.com', 'comerico.com.mx.', 'comerico.com.mx', u'homo', '216.250.129.34')
(u'comerica.com', 'comerica.co.', 'comerica.co', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'comercia.com.', 'comercia.com', u'typo', '64.85.171.16')
(u'comerica.com', 'comedica.com.', 'comedica.com', u'typo', '178.33.104.60')
(u'comerica.com', 'comerica.com.ec.', 'comerica.com.ec', 'wrongTLD', '198.74.57.172')
(u'comerica.com', 'wehbanking-comerica.com.', 'wehbanking-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comericab.com.', 'comericab.com', u'typo', '198.54.115.9')
(u'comerica.com', 'weblbank-comerica.com.', 'weblbank-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comsurvey-comerica.com.', 'comsurvey-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comerica.us.', 'comerica.us', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'web2banking-comerica.com.', 'web2banking-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comerca.com.mx.', 'comerca.com.mx', u'typo', '74.208.215.104')
(u'comerica.com', 'comerica.xxx.', 'comerica.xxx', 'wrongTLD', '199.253.28.249')
(u'comerica.com', 'comercia.viajes.', 'comercia.viajes', u'typo', '217.160.230.91')
(u'comerica.com', 'comerica.at.', 'comerica.at', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'comeerica.com.', 'comeerica.com', u'typo', '213.247.47.190')
(u'comerica.com', 'comperica.com.', 'comperica.com', u'typo', '52.213.114.86')
(u'comerica.com', 'comarica.com.', 'comarica.com', u'homo', '72.52.10.14')
(u'comerica.com', 'comerica.jobs.', 'comerica.jobs', 'wrongTLD', '164.109.35.210')
(u'comerica.com', 'comerica.com.tw.', 'comerica.com.tw', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'retire-comerica.com.', 'retire-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'cometica.de.', 'cometica.de', u'typo', '195.30.96.73')
(u'comerica.com', 'cometrica.com.', 'cometrica.com', u'typo', '94.136.40.82')
(u'comerica.com', 'gomerica.com.', 'gomerica.com', u'bits', '66.96.149.21')
(u'comerica.com', 'we-banking-comerica.com.', 'we-banking-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'webibanking-comerica.com.', 'webibanking-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comerixa.com.', 'comerixa.com', u'typo', '72.52.10.14')
(u'comerica.com', 'vomerica.com.', 'vomerica.com', u'typo', '198.185.159.144')
(u'comerica.com', 'comerica.tw.', 'comerica.tw', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'comerics.com.', 'comerics.com', u'typo', '72.52.10.14')
(u'comerica.com', 'domerica.net.', 'domerica.net', u'typo', '157.7.107.29')
(u'comerica.com', 'vomerica.com.', 'vomerica.com', u'typo', '198.185.159.145')
(u'comerica.com', 'comefica.com.', 'comefica.com', u'typo', '104.27.171.143')
(u'comerica.com', 'comedica.net.', 'comedica.net', u'typo', '205.178.189.131')
(u'comerica.com', 'comeriica.com.', 'comeriica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comercia.click.', 'comercia.click', u'typo', '217.160.230.131')
(u'comerica.com', 'comerica.org.', 'comerica.org', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'camerica.net.', 'camerica.net', u'homo', '192.64.147.176')
(u'comerica.com', 'comericaj.com.', 'comericaj.com', u'typo', '72.52.10.14')
(u'comerica.com', 'gomerica.org.', 'gomerica.org', u'bits', '66.96.149.30')
(u'comerica.com', 'comerica.co.uk.', 'comerica.co.uk', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'camerica.com.', 'camerica.com', u'homo', '173.239.23.228')
(u'comerica.com', 'comercia.eu.', 'comercia.eu', u'typo', '87.98.228.82')
(u'comerica.com', 'comerca.com.', 'comerca.com', u'typo', '103.224.182.252')
(u'comerica.com', 'coomerica.com.', 'coomerica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comeerica.com.', 'comeerica.com', u'typo', '173.239.8.164')
(u'comerica.com', 'comerlca.cf.', 'comerlca.cf', u'homo', '195.20.51.170')
(u'comerica.com', 'comrica.com.', 'comrica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comerica-fremont.com.', 'comerica-fremont.com', 'combo', '93.191.168.52')
(u'comerica.com', 'komerica.net.', 'komerica.net', u'bits', '54.250.150.133')
(u'comerica.com', 'camerica.edu.mx.', 'camerica.edu.mx', u'homo', '69.195.124.224')
(u'comerica.com', 'comerico.net.', 'comerico.net', u'homo', '69.41.190.253')
(u'comerica.com', 'comercia.nl.', 'comercia.nl', u'typo', '91.216.34.100')
(u'comerica.com', 'comercia.net.', 'comercia.net', u'typo', '207.148.248.145')
(u'comerica.com', 'comerida.com.', 'comerida.com', u'typo', '184.168.221.52')
(u'comerica.com', 'comerica.asia.', 'comerica.asia', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'comerica-online.com.', 'comerica-online.com', 'combo', '72.52.10.14')
(u'comerica.com', 'webbanking-comerica.org.', 'webbanking-comerica.org', 'combo', '72.52.10.14')
(u'comerica.com', 'comerica.com.mx.', 'comerica.com.mx', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'webbanking-comerica.net.', 'webbanking-comerica.net', 'combo', '72.52.10.14')
(u'comerica.com', 'comrrica.com.', 'comrrica.com', u'typo', '172.107.9.209')
(u'comerica.com', 'webbanking-comerica.com.', 'webbanking-comerica.com', 'combo', '72.52.10.14')
(u'comerica.com', 'comeriac.com.', 'comeriac.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comercia.online.', 'comercia.online', u'typo', '217.160.230.131')
(u'comerica.com', 'comerica.name.', 'comerica.name', 'wrongTLD', '72.52.10.14')
(u'comerica.com', 'cmerica.com.', 'cmerica.com', u'typo', '72.52.10.14')
(u'comerica.com', 'comeriva.com.', 'comeriva.com', u'typo', '72.52.10.14')
(u'comerica.com', 'coemrica.com.', 'coemrica.com', u'typo', '72.52.10.14')
