(u'coinmarketcap.com', 'coinarketcap.com.', 'coinarketcap.com', u'typo', '164.132.212.72')
(u'coinmarketcap.com', 'coonmarketcap.com.', 'coonmarketcap.com', u'homo', '207.244.67.139')
(u'coinmarketcap.com', 'coinmarletcap.com.', 'coinmarletcap.com', u'typo', '45.33.9.234')
(u'coinmarketcap.com', 'coinmarkrtcap.com.', 'coinmarkrtcap.com', u'typo', '207.244.67.138')
(u'coinmarketcap.com', 'coinmarmetcap.com.', 'coinmarmetcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmarketap.com.', 'coinmarketap.com', u'typo', '164.132.212.72')
(u'coinmarketcap.com', 'coinmatketcap.com.', 'coinmatketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmerketcap.com.', 'coinmerketcap.com', u'homo', '5.79.68.107')
(u'coinmarketcap.com', 'coinmarkeycap.com.', 'coinmarkeycap.com', u'typo', '45.56.69.72')
(u'coinmarketcap.com', 'coinmaerketcap.com.', 'coinmaerketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmarketgap.com.', 'coinmarketgap.com', u'bits', '207.244.67.139')
(u'coinmarketcap.com', 'coinmartketcap.com.', 'coinmartketcap.com', u'typo', '45.56.69.72')
(u'coinmarketcap.com', 'coinmarrketcap.com.', 'coinmarrketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmarketca.com.', 'coinmarketca.com', u'typo', '107.161.23.204')
(u'coinmarketcap.com', 'coinmarketcap.de.', 'coinmarketcap.de', 'wrongTLD', '88.99.101.251')
(u'coinmarketcap.com', 'cpinmarketcap.com.', 'cpinmarketcap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coinmarketcop.com.', 'coinmarketcop.com', u'homo', '45.33.9.234')
(u'coinmarketcap.com', 'cinmarketcap.com.', 'cinmarketcap.com', u'typo', '107.161.23.204')
(u'coinmarketcap.com', 'coinmarketcp.com.', 'coinmarketcp.com', u'typo', '107.161.23.204')
(u'coinmarketcap.com', 'coinmarketcp.com.', 'coinmarketcp.com', u'typo', '167.114.213.199')
(u'coinmarketcap.com', 'coinmarketcat.com.', 'coinmarketcat.com', u'bits', '141.8.224.93')
(u'coinmarketcap.com', 'coinmaketcap.com.', 'coinmaketcap.com', u'typo', '213.247.47.190')
(u'coinmarketcap.com', 'coinmarketcqp.com.', 'coinmarketcqp.com', u'bits', '198.58.122.166')
(u'coinmarketcap.com', 'counmarketcap.com.', 'counmarketcap.com', u'homo', '45.33.9.234')
(u'coinmarketcap.com', 'coinmrketcap.com.', 'coinmrketcap.com', u'typo', '167.114.213.199')
(u'coinmarketcap.com', 'coinmakretcap.com.', 'coinmakretcap.com', u'typo', '54.217.222.113')
(u'coinmarketcap.com', 'coinmarketxap.com.', 'coinmarketxap.com', u'typo', '141.8.224.93')
(u'coinmarketcap.com', 'coonmarketcap.com.', 'coonmarketcap.com', u'homo', '162.210.195.122')
(u'coinmarketcap.com', 'coimarketcap.com.', 'coimarketcap.com', u'typo', '46.166.189.98')
(u'coinmarketcap.com', 'coinmarketcapp.com.', 'coinmarketcapp.com', u'typo', '23.236.62.147')
(u'coinmarketcap.com', 'coinmarketcap.exchange.', 'coinmarketcap.exchange', 'wrongTLD', '217.160.233.175')
(u'coinmarketcap.com', 'coinmrketcap.com.', 'coinmrketcap.com', u'typo', '164.132.212.72')
(u'coinmarketcap.com', 'coinmaketcap.net.', 'coinmaketcap.net', u'typo', '74.119.239.234')
(u'coinmarketcap.com', 'coinmaketcap.com.', 'coinmaketcap.com', u'typo', '173.239.5.6')
(u'coinmarketcap.com', 'coinmarketcop.com.', 'coinmarketcop.com', u'homo', '45.56.69.72')
(u'coinmarketcap.com', 'coinmarketgap.com.', 'coinmarketgap.com', u'bits', '162.210.195.123')
(u'coinmarketcap.com', 'coinmarktcap.com.', 'coinmarktcap.com', u'typo', '164.132.212.72')
(u'coinmarketcap.com', 'voinmarketcap.com.', 'voinmarketcap.com', u'typo', '91.195.240.93')
(u'coinmarketcap.com', 'coinnmarketcap.com.', 'coinnmarketcap.com', u'typo', '103.224.212.222')
(u'coinmarketcap.com', 'coinarketcap.com.', 'coinarketcap.com', u'typo', '167.114.213.199')
(u'coinmarketcap.com', 'xoinmarketcap.com.', 'xoinmarketcap.com', u'typo', '91.195.240.93')
(u'coinmarketcap.com', 'coinmarketcsp.com.', 'coinmarketcsp.com', u'typo', '45.56.69.72')
