(u'zocdoc.com', 'socdoc.co.uk.', 'socdoc.co.uk', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdog.com.', 'zocdog.com', u'bits', '173.239.8.164')
(u'zocdoc.com', 'zocdoc.ie.', 'zocdoc.ie', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zpcdoc.com.', 'zpcdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdock.net.', 'zocdock.net', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.kz.', 'zocdoc.kz', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocfoc.com.', 'zocfoc.com', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zocdock.com.', 'zocdock.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.it.', 'zocdoc.it', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'ocdoc.co.uk.', 'ocdoc.co.uk', u'typo', '216.239.34.21')
(u'zocdoc.com', 'zocdox.com.cn.', 'zocdox.com.cn', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.ca.', 'zocdocs.ca', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.kg.', 'zocdoc.kg', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.com.au.', 'zocdocs.com.au', u'typo', '72.52.10.14')
(u'zocdoc.com', 'socdoc.biz.', 'socdoc.biz', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.biz.', 'zocdocs.biz', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.xxx.', 'zocdoc.xxx', 'wrongTLD', '199.253.28.9')
(u'zocdoc.com', 'zofdoc.com.', 'zofdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocodc.pw.', 'zocodc.pw', u'typo', '103.224.22.99')
(u'zocdoc.com', 'zocdoc.nyc.', 'zocdoc.nyc', 'wrongTLD', '64.124.14.63')
(u'zocdoc.com', 'zocdoc.com.mt.', 'zocdoc.com.mt', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zogdoc.com.', 'zogdoc.com', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zocsoc.com.', 'zocsoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdpc.com.', 'zocdpc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdock.ch.', 'zocdock.ch', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdox.it.', 'zocdox.it', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.com.py.', 'zocdoc.com.py', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'socdoc.org.', 'socdoc.org', u'typo', '23.236.62.147')
(u'zocdoc.com', 'zocdoc.lu.', 'zocdoc.lu', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'ocdoc.co.uk.', 'ocdoc.co.uk', u'typo', '216.239.32.21')
(u'zocdoc.com', 'rocdoc.net.', 'rocdoc.net', u'bits', '65.254.227.224')
(u'zocdoc.com', 'zodoc.us.', 'zodoc.us', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.kr.', 'zocdoc.kr', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.gy.', 'zocdoc.gy', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.android.', 'zocdoc.android', 'wrongTLD', '127.0.53.53')
(u'zocdoc.com', 'zocdoc.jo.', 'zocdoc.jo', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zoddoc.ph.', 'zoddoc.ph', u'typo', '45.79.222.138')
(u'zocdoc.com', 'socdoc.com.', 'socdoc.com', u'typo', '23.236.62.147')
(u'zocdoc.com', 'tocdoc.com.', 'tocdoc.com', u'typo', '52.9.18.159')
(u'zocdoc.com', 'zocdc.com.', 'zocdc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.mx.', 'zocdoc.mx', 'wrongTLD', '216.146.46.10')
(u'zocdoc.com', 'zodcoc.com.', 'zodcoc.com', u'typo', '72.52.4.121')
(u'zocdoc.com', 'zocdoc.mx.', 'zocdoc.mx', 'wrongTLD', '216.146.46.11')
(u'zocdoc.com', 'zodcoc.it.', 'zodcoc.it', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdocs.ch.', 'zocdocs.ch', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zoddoc.eu.', 'zoddoc.eu', u'typo', '192.64.119.243')
(u'zocdoc.com', 'zocdoc.com.ar.', 'zocdoc.com.ar', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.org.', 'zokdoc.org', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.com.au.', 'zokdoc.com.au', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.ma.', 'zocdoc.ma', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.net.', 'zokdoc.net', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zocdox.biz.', 'zocdox.biz', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zicdoc.com.', 'zicdoc.com', u'homo', '72.52.10.14')
(u'zocdoc.com', 'zodcoc.nl.', 'zodcoc.nl', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.it.', 'zokdoc.it', u'bits', '72.52.10.14')
(u'zocdoc.com', 'zodcoc.biz.', 'zodcoc.biz', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zokdoc.com.', 'zokdoc.com', u'bits', '72.52.10.14')
(u'zocdoc.com', 'gocdoc.com.', 'gocdoc.com', u'typo', '72.52.10.14')
(u'zocdoc.com', 'zocdoc.ci.', 'zocdoc.ci', 'wrongTLD', '72.52.10.14')
(u'zocdoc.com', 'zocdox.es.', 'zocdox.es', u'typo', '72.52.10.14')
(u'zocdoc.com', 'tocdoc.net.', 'tocdoc.net', u'typo', '167.114.213.199')
(u'zocdoc.com', 'zoceoc.com.', 'zoceoc.com', u'bits', '72.52.10.14')
(u'zocdoc.com', 'socdoc.it.', 'socdoc.it', u'typo', '72.52.10.14')
(u'zocdoc.com', 'socdoc.info.', 'socdoc.info', u'typo', '72.52.10.14')
(u'zocdoc.com', 'rocdoc.ca.', 'rocdoc.ca', u'bits', '216.251.32.99')
(u'zocdoc.com', 'zocdoc.xxx.', 'zocdoc.xxx', 'wrongTLD', '199.253.28.249')
(u'zocdoc.com', 'aocdoc.com.', 'aocdoc.com', u'typo', '199.34.228.70')
(u'zocdoc.com', 'aocdoc.de.', 'aocdoc.de', u'typo', '217.70.142.74')
